hand_band,humid_temperate,mediterranean,n_ht,n_md
<2m,12.280785344413074,34.967323018914776,15231.0,22490.0
2–10m,23.894562627828023,38.97622965558841,17924.0,30358.0
10–50m,26.492514666415317,49.30114987328807,19500.0,17850.0
50–200m,15.245717589886565,47.99358232948825,4383.0,5146.0
>200m,10.175332154621785,55.741147124468185,478.0,1210.0
