hand_band,n,rmse_raw,rmse_corr,mae_raw,mae_corr,bias_raw,bias_corr,improve_pct
<2m,15231.0,2.940643785156445,2.5795096341575583,1.4554261098630494,1.1953285757246856,0.900679352097372,-0.05718444264866552,12.280785344413074
2–10m,17924.0,3.4537634562808313,2.6285017842027703,1.8444752528941097,1.4179460130128847,1.3418909596537987,0.003445927473601736,23.894562627828023
10–50m,19500.0,6.318250083334094,4.644386753346011,3.5084789895836215,2.7584651797616675,2.8227490057489786,0.26802849895920283,26.492514666415317
50–200m,4383.0,7.638290957902184,6.473778689766576,4.553994982995713,4.146359796301185,3.0703459058583613,0.7146583979973138,15.245717589886565
>200m,478.0,7.419308241821479,6.664368984640914,4.4676069944163075,4.295515320002889,1.467430901154248,0.4221740907578069,10.175332154621785
