ndvi_band,humid_temperate,mediterranean,n_ht,n_md
sparse (<0.2),21.903800412472638,44.82789517654631,20362.0,27091.0
low (0.2–0.4),22.081848735299403,43.28510103521113,21328.0,30189.0
med (0.4–0.6),22.29164784961761,50.52917642867602,14785.0,18223.0
dense (0.6–0.8),27.749977236369393,57.45483195654396,1187.0,1700.0
