ndvi_band,n,rmse_raw,rmse_corr,mae_raw,mae_corr,bias_raw,bias_corr,improve_pct
sparse (<0.2),20362.0,4.308797149320897,3.3650068215553373,1.9206550084371976,1.6590756247820648,1.23604800256904,0.21330240914713397,21.903800412472638
low (0.2–0.4),21328.0,4.804305485247504,3.743426015213458,2.575561077194857,2.0773960458487934,1.9940217143162884,0.09540207717109905,22.081848735299403
med (0.4–0.6),14785.0,5.9842819244721,4.65028687154046,3.4301807248406893,2.6301578120213636,2.597060445263003,0.12880439840697933,22.29164784961761
dense (0.6–0.8),1187.0,3.5582289232690596,2.5708212070439838,1.5244006150466198,1.1555550725430483,1.3021321293860169,-0.25851263155416854,27.749977236369393
