hand_band,n,rmse_raw,rmse_corr,mae_raw,mae_corr,bias_raw,bias_corr,improve_pct
<2m,22490.0,2.014874906471899,1.3103270894988133,0.9237973341806753,0.5480406658233911,0.6879694468597847,0.007974156052680457,34.967323018914776
2–10m,30358.0,1.9368700662073237,1.1819511410720098,0.9599379454842947,0.6012435463484914,0.7602048938141747,-0.006143132100799968,38.97622965558841
10–50m,17850.0,4.218349897114541,2.138654892158408,2.144906987865817,1.246068282716389,1.6478204441809492,0.002761479419910079,49.30114987328807
50–200m,5146.0,5.706460277696524,2.9677255662206994,3.438391062244679,1.986790392157129,1.7188882847797464,0.008101464237315548,47.99358232948825
>200m,1210.0,5.022863724148216,2.223061865809217,3.19222446233819,1.5679838902503676,0.4071741365203639,-0.03680639759484116,55.741147124468185
