geom,n,rmse_raw,rmse_corr,mae_raw,mae_corr,bias_raw,bias_corr,improve_pct
hollow,23863.0,3.4887006602739707,2.933177630668573,1.8352386202492972,1.5541795893616441,1.2539252325775052,-0.04084831717920101,15.923493692971984
slope,15205.0,4.850651275443424,3.9006339092374294,2.2993529275023628,1.9374571630018116,1.5376848689371065,0.17327103757463103,19.58535693991212
spur,14022.0,6.421398012290301,4.850933809931592,3.569231036589503,2.8146261550462315,2.8817241663555877,0.39669570618929717,24.456733554794493
pit,2783.0,3.4760763154384113,2.932633271147134,2.218277667890356,1.7531838254854937,1.503292781978649,0.11899390644577047,15.633806481108191
peak,1717.0,9.408622835167892,6.081781568668869,6.484592736990586,4.049274531963527,5.9040156924883656,0.4150931076904624,35.35949229534247
valley,140.0,2.8877674546114234,3.031421793916631,2.020808759943811,2.1912782405918887,-1.2734666478047,-1.1611158441332712,-4.974581283399695
footslope,115.0,3.846397992294662,3.8437289298666992,2.627766272121803,2.8508389020267555,-1.6360719692898054,-1.1628162477367598,0.06939121831151274
flat,3.0,7.5880347745452825,8.658242897483728,7.462773343536298,8.624087110202973,-7.462773343536298,-8.624087110202973,-14.103890595342957
shoulder,1.0,9.561225292266954,9.11989301226697,9.561225292266954,9.11989301226697,9.561225292266954,9.11989301226697,4.615854835644647
