elev_band,n,rmse_raw,rmse_corr,mae_raw,mae_corr,bias_raw,bias_corr,improve_pct
<200m,39589.0,2.0732623293567545,1.1569681355220653,1.106106980192626,0.646591811443456,0.9323967979763312,0.06713069465468276,44.19576726303499
200–500m,29026.0,3.3575103895323006,1.920660875674424,1.5542375974224751,0.9349257326636957,1.1310396940615672,-0.04362301123445517,42.795087644033444
500–1000m,3240.0,5.362843725226518,2.9722869299355583,2.7373570331869055,1.6763287114037353,1.5563319312072244,-0.08595550993994841,44.57629044914946
1000–2000m,1880.0,3.374467500249028,1.7309357514552886,1.5279916280439276,0.9905446477635023,0.5835980408207981,-0.20818330961794237,48.70492155199156
>2000m,3766.0,5.423214520123525,2.316610182381511,2.5594501667915917,1.3835500695023197,0.4682070557167194,-0.18070463409610812,57.28344925716224
